0_nprobe,faiss_nlist,attribute_query_recall_at_k,basic_query_recall_at_k,natural_query_recall_at_k,overall_recall_at_k
32,10000,0.69,0.32,0.54,0.52
32,4000,0.68,0.33,0.53,0.51
16,10000,0.68,0.32,0.49,0.5
16,4000,0.68,0.33,0.5,0.5
32,16000,0.69,0.31,0.47,0.49
8,4000,0.67,0.33,0.48,0.49
4,4000,0.66,0.32,0.44,0.47
8,10000,0.63,0.3,0.44,0.46
16,16000,0.64,0.3,0.39,0.44
4,10000,0.62,0.3,0.35,0.42
2,4000,0.63,0.31,0.32,0.42
8,16000,0.62,0.28,0.34,0.41
2,10000,0.6,0.31,0.28,0.4
4,16000,0.57,0.29,0.31,0.39
1,4000,0.6,0.3,0.24,0.38
1,10000,0.57,0.29,0.22,0.36
2,16000,0.53,0.3,0.22,0.35
1,16000,0.5,0.29,0.17,0.32